r,l,t
4253.372665524483,1696,1702.1692581176758
9797.277769505978,913,1704.737407207489
9800.333278656006,899,1707.248630285263
9809.944386899471,856,1709.684900045395
9663.833320260048,1513,1713.8434073925018
3646.2900450229645,402,1714.9867007732391
645.9738566279411,72,1715.2390542030334
4979.0261352062225,1246,1718.691706418991
9800.333287417889,899,1721.263839006424
9713.833338618279,1288,1724.7703449726105
1030.14333319664,93,1725.089190006256
3737.3524443507195,1632,1729.599494934082
9703.888861835003,1333,1733.3093962669373
9812.555526256561,844,1735.7035601139069
3638.7015033364296,355,1736.7298684120178
9844.777744054794,699,1738.7443416118622
9866.111073970795,603,1740.4438257217407
3638.7015058398247,362,1741.4881525039673
3649.135737836361,351,1742.5024166107178
9810.444379508495,853,1744.9630048274994
3637.7529398798943,351,1745.9712102413177
3646.290041267872,310,1746.8621232509613
8080.838941574097,875,1749.2838242053986
9844.777724146843,699,1751.2769801616669
9844.777726471424,699,1753.2468276023865
645.9738566875458,71,1753.4748785495758
9844.777703881264,699,1755.4484589099884
9797.388860285282,912,1758.0117781162262
5068.191385746002,872,1760.4969172477722
9799.499983787537,903,1762.8882088661194
5070.088522017002,872,1765.3444452285767
9713.722195863724,1289,1769.0038759708405
9799.555536210537,902,1771.53320479393
9821.444416105747,804,1773.8096504211426
3649.135740160942,351,1774.8615763187408
9740.333334386349,1169,1778.1263313293457
5066.294248282909,872,1780.5763940811157
3666.209952533245,1066,1783.539421081543
9806.611049354076,871,1786.028606414795
1030.1433287262917,87,1786.3259031772614
9740.333327770233,1169,1789.5515639781952
5066.294255912304,872,1792.021695613861
9815.166626870632,832,1794.3504121303558
9714.888844311237,1283,1797.8571937084198
9735.055549502373,1193,1801.0318038463593
4147.133211672306,783,1803.1113357543945
9797.277749419212,913,1805.5372211933136
9799.555553376675,902,1807.9457712173462
5070.088530540466,872,1810.2574684619904
9799.555495798588,902,1812.7733354568481
5071.037081182003,586,1814.3716940879822
5071.037085711956,873,1816.7152726650238
9797.388840436935,912,1819.1124699115753
